coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed May 20 03:38:59 +0000 2015,critlib,,,0,600868292354539520,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Disappointed that I forgot abt the publib #critlib but looking forward to reading tomorrow!,https://twitter.com/aliqaesong/status/600868292354539520,Thu Jan 15 18:37:45 +0000 2009,aliqaesong,False,"labor librarian & researcher, woods dweller.",2050,448,739,29,"Ithaca, NY",Aliqae Geraci,aliqaesong,1867,Central Time (US & Canada),http://aliqaegeraci.com,False
,Wed May 20 03:25:32 +0000 2015,critlib,,,0,600864907127431169,,,,en,,,1,600839812271054848,melbrarian,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @melbrarian: A5 there's a lot of important stuff like equity of access to information, addressing the digital divide, social inclusion, …",https://twitter.com/kaykataj/status/600864907127431169,Fri Feb 07 11:50:03 +0000 2014,kaykataj,False,volunteer zine cataloguer & archivist ∆ bachelor of Info studies & medical terminology student ∆ learning 5evr,1336,113,352,14,"Melbourne, AU", KѦYKѦTѦJ,kaykataj,1707,New Caledonia,,False
,Wed May 20 03:25:32 +0000 2015,critlib,,,0,600864907060383744,,,,en,,,4,600839711930851328,InfAgit,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @InfAgit: A4: I.e. even if your community is heavily white, it's your resp for collections and programs to reflect non-white culture as …",https://twitter.com/kaykataj/status/600864907060383744,Fri Feb 07 11:50:03 +0000 2014,kaykataj,False,volunteer zine cataloguer & archivist ∆ bachelor of Info studies & medical terminology student ∆ learning 5evr,1336,113,352,14,"Melbourne, AU", KѦYKѦTѦJ,kaykataj,1707,New Caledonia,,False
,Wed May 20 02:46:11 +0000 2015,critlib alaac15,,http://tinyurl.com/critlib-ala15,0,600855005957062656,,,,en,,False,6,600757255978426370,pumpedlibrarian,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @pumpedlibrarian: There are still some slots left at the #critlib uncon during #alaac15! Join us, it's free, but filling up fast! http:/…",https://twitter.com/elliehearts/status/600855005957062656,Thu Aug 04 02:03:42 +0000 2011,elliehearts,False,Inquisitive. Excitable. Outreach & Research Instruction Librarian at Moravian College. Editor for @libraryleadpipe. Linkspammer with @geekfeminism.,3577,194,186,14,,ellie,elliehearts,3515,,http://about.me/elliehearts,False
,Wed May 20 02:32:35 +0000 2015,critlib,,,1,600851583409131522,dsmvwlng,600851340638556161,2910699282,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@ibeilin @melbrarian which ofc begs q: why are we always thinking of mrgnlsd individuals as being the patron and not the librarian #critlib,https://twitter.com/dsmvwlng/status/600851583409131522,Wed Nov 26 08:54:26 +0000 2014,dsmvwlng,False,"trans dyke, programmer, and still working out how i want to use this twitter thing",293,11,42,2,the couch,disemvoweling,dsmvwlng,280,Melbourne,,False
,Wed May 20 02:30:57 +0000 2015,critlib,,,0,600851171234963456,,,,en,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sorry, what is the #critlib Storify etiquette? Do I grab all of the tweets from tonight, including some jokey side convos, or do I curate?",https://twitter.com/InfAgit/status/600851171234963456,Mon Feb 10 03:12:01 +0000 2014,InfAgit,False,"Public librarian. I edited a book on librarianship and activism. Tweeting on those topics, mostly.",569,518,695,30,Brooklyn,Melissa Morrone,InfAgit,2117,Eastern Time (US & Canada),http://informedagitation.info,False
,Wed May 20 02:26:28 +0000 2015,critlib,,,1,600850043843649536,InfAgit,600849634265853952,2336011231,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@InfAgit @hamtron5000 im on east coast so it starts 11am here - when i was an academic lib i could #critlib on my lunchbreak, sooo good!",https://twitter.com/melbrarian/status/600850043843649536,Tue Aug 20 01:55:15 +0000 2013,melbrarian,False,freshly minted #librarian. like to follow #GLAM folks. i have many skills. all opinions are my own. all cat hairs are meant to be there.,4079,713,877,43,melbourne australia,katie,melbrarian,3456,Melbourne,https://melbournelibrarian.wordpress.com/,False
,Wed May 20 02:23:23 +0000 2015,critlib,,,3,600849270170718210,alisonhicks0,600849070823907328,153818628,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@alisonhicks0 @kevinseeber @hamtron5000 i work at a tech college so this is right up my alley! #critlib,https://twitter.com/Heath_Bears/status/600849270170718210,Fri Aug 08 19:30:08 +0000 2008,Heath_Bears,False,"Librarian, bitches!",22,74,60,7,"Seattle, Washington",Heath_Bear,Heath_Bears,1517,Pacific Time (US & Canada),http://revoltshesaid.me,False
,Wed May 20 02:22:08 +0000 2015,critlib,,,2,600848953941233664,kevinseeber,600848538252148737,1357345087,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@kevinseeber @alisonhicks0 @hamtron5000 i just wet myself these slides look so good! #critlib,https://twitter.com/Heath_Bears/status/600848953941233664,Fri Aug 08 19:30:08 +0000 2008,Heath_Bears,False,"Librarian, bitches!",22,74,60,7,"Seattle, Washington",Heath_Bear,Heath_Bears,1517,Pacific Time (US & Canada),http://revoltshesaid.me,False
,Wed May 20 02:22:00 +0000 2015,critlib,,,2,600848919665315840,ibeilin,600848020465438721,2308942536,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ibeilin ahh yes well, this is perhaps the most exciting/pertinent example of #critlib's rship to infolit that i can think of!",https://twitter.com/melbrarian/status/600848919665315840,Tue Aug 20 01:55:15 +0000 2013,melbrarian,False,freshly minted #librarian. like to follow #GLAM folks. i have many skills. all opinions are my own. all cat hairs are meant to be there.,4079,713,877,43,melbourne australia,katie,melbrarian,3456,Melbourne,https://melbournelibrarian.wordpress.com/,False
